,年化收益率,年化波动率,最大回撤,夏普比率
AAPL,0.21656369338630455,0.2744504058551281,-0.3336052192612387,0.6251172879549921
AMZN,0.1589085269798757,0.3541076998179287,-0.561452632532826,0.3216776337776444
GOOGL,0.3000210360078591,0.31225556519868014,-0.4432005064829473,0.8167061357116113
META,0.23274970863576216,0.43891505531446917,-0.7673609057246625,0.42775864341505737
MSFT,0.15205173151670734,0.263684412983091,-0.3714849835863784,0.4059842988275995
NVDA,0.6886879845496432,0.5168244856214383,-0.6633509570247426,1.24546727652747
TSLA,0.33053000186091697,0.5890574306294434,-0.7363221744219125,0.48472353800173773
