Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2021-05-17,123.08191680908205,163.51950073242188,113.50785064697266,313.0036926269531,235.2648468017578,14.129886627197266,192.27667236328125
2021-05-18,121.69779205322266,161.61399841308594,112.19619750976562,307.5464782714844,233.249755859375,13.980512619018556,192.6233367919922
2021-05-19,121.54181671142578,161.58999633789062,112.64400482177734,311.1482849121094,233.8267974853516,14.030389785766602,187.82000732421875
2021-05-20,124.0956573486328,162.38400268554688,114.4019775390625,316.12921142578125,237.0583648681641,14.575764656066896,195.5933380126953
2021-05-21,122.26312255859376,160.1540069580078,113.76622009277344,313.7677307128906,235.7984161376953,14.954059600830078,193.6266632080078
2021-05-24,123.8909683227539,162.24949645996094,117.08429718017578,322.102294921875,241.1940155029297,15.57275104522705,202.14666748046875
2021-05-25,123.6960220336914,162.95249938964844,117.17505645751952,325.2377014160156,242.09808349609372,15.60840892791748,201.56333923339844
2021-05-26,123.6472625732422,163.25799560546875,118.03990173339844,325.1086730957031,241.8769073486328,15.660528182983398,206.3766632080078
2021-05-27,122.1169204711914,161.5054931640625,117.1656265258789,330.1590576171875,239.7801971435547,15.449061393737791,210.2833404541016
2021-05-28,121.4638442993164,161.15350341796875,116.8765106201172,326.17041015625,240.13604736328125,16.20366096496582,208.4066619873047
2021-06-01,121.14216613769533,160.9324951171875,118.0830535888672,326.5672302246094,237.94322204589844,16.22361183166504,207.96665954589844
2021-06-02,121.90247344970705,161.69949340820312,117.5578842163086,326.58709716796875,237.8470458984375,16.736068725585938,201.7066650390625
2021-06-03,120.42086029052734,159.35049438476562,116.41680145263672,323.5013732910156,236.31781005859372,16.927087783813477,190.94667053222656
2021-06-04,122.71150207519533,160.31100463867188,118.6974639892578,327.7777709960937,241.20361328125,17.534055709838867,199.68333435058597
2021-06-07,122.72126770019533,159.90049743652344,119.13038635253906,333.959228515625,244.10818481445312,17.574703216552734,201.7100067138672
2021-06-08,123.5400619506836,163.20550537109375,118.93896484375,331.0818176269531,242.91558837890625,17.41311264038086,201.19667053222656
2021-06-09,123.92020416259766,164.0574951171875,119.41007995605467,327.67852783203125,243.8966064453125,17.318580627441406,199.5933380126953
2021-06-10,122.92596435546876,167.4824981689453,120.75843811035156,329.8713684082031,247.40708923339844,17.385173797607422,203.3733367919922
2021-06-11,124.13465881347656,167.3415069580078,120.5139617919922,328.6806945800781,248.03224182128903,17.784513473510742,203.29666137695312
2021-06-14,127.18561553955078,169.19349670410156,121.44178009033205,334.1477355957031,249.95579528808597,17.977563858032227,205.89666748046875
2021-06-15,126.36683654785156,169.156494140625,120.42420196533205,334.1280212402344,248.4842529296875,17.747844696044922,199.7866668701172
2021-06-16,126.8639144897461,170.7624969482422,119.78250885009766,328.5021057128906,247.54173278808597,17.76953887939453,201.6233367919922
2021-06-17,128.46253967285156,174.46200561523438,120.74554443359376,333.8898620605469,250.9271697998047,18.61460304260254,205.5333404541016
2021-06-18,127.1661376953125,174.34500122070312,119.12642669677734,327.0931701660156,249.5133209228516,18.59615135192871,207.7700042724609
2021-06-21,128.95968627929688,172.697998046875,120.81397247314452,329.70263671875,252.59104919433597,18.3851375579834,206.94332885742188
2021-06-22,130.59727478027344,175.27200317382812,121.32772827148438,336.39019775390625,255.36094665527344,18.843584060668945,207.90333557128903
2021-06-23,130.32432556152344,175.1909942626953,121.12589263916016,337.93804931640625,255.1301422119141,19.013694763183597,218.85667419433597
2021-06-24,130.04165649414062,172.45399475097656,121.49583435058594,340.50787353515625,256.4958190917969,19.161605834960938,226.60667419433597
2021-06-25,129.7492218017578,170.072998046875,121.5042724609375,338.7119445800781,254.8896331787109,18.98750305175781,223.9566650390625
2021-06-28,131.3770751953125,172.1945037841797,121.53155517578124,352.8708801269531,258.4482421875,19.939329147338867,229.5733337402344
2021-06-29,132.88795471191406,172.40699768066406,121.27019500732422,349.15008544921875,261.0258178710937,19.98097801208496,226.9199981689453
2021-06-30,133.5020294189453,172.00799560546875,121.08870697021484,345.00262451171875,260.544921875,19.956787109375,226.5666656494141
2021-07-01,133.80418395996094,171.64849853515625,121.44080352783205,351.6305847167969,261.2182006835937,20.165802001953125,225.97332763671875
2021-07-02,136.42626953125,175.5489959716797,124.2307357788086,351.93817138671875,267.0369567871094,20.44017601013184,226.3000030517578
2021-07-06,138.43426513671875,183.78700256347656,125.15558624267578,350.0331726074219,267.0465087890625,20.65119171142578,219.8600006103516
2021-07-07,140.91989135742188,184.82899475097656,125.43726348876952,347.76092529296875,269.229736328125,20.32519149780273,214.88333129882807
2021-07-08,139.62344360351562,186.57049560546875,124.01898956298828,342.9586486816406,266.81573486328125,19.857267379760746,217.60333251953125
2021-07-09,141.44619750976562,185.9669952392578,124.48959350585938,347.6914978027344,267.3158569335937,20.00442314147949,218.98333740234372
2021-07-12,140.85165405273438,185.9275054931641,125.93465423583984,350.4101867675781,266.719482421875,20.465620040893555,228.5666656494141
2021-07-13,141.96286010742188,183.8679962158203,126.29764556884766,349.3485412597656,270.2396545410156,20.20371437072754,222.8466644287109
2021-07-14,145.38424682617188,184.08399963378903,127.18580627441406,344.9232177734375,271.7112121582031,19.796146392822266,217.7933349609375
2021-07-15,144.73117065429688,181.55999755859372,125.96390533447266,341.7779235839844,270.28765869140625,18.92289924621582,216.86666870117188
2021-07-16,142.6939239501953,178.68150329589844,125.92919158935548,338.5035705566406,270.0184326171875,18.119489669799805,214.7400054931641
2021-07-19,138.8533935546875,177.47950744628906,123.55680847167967,334.3263854980469,266.42144775390625,18.73682975769043,215.4066619873047
2021-07-20,142.45999145507812,178.6595001220703,125.17493438720705,338.9997253417969,268.6430969238281,18.5694637298584,220.1666717529297
2021-07-21,141.72894287109375,179.25999450683594,126.50345611572266,343.5341491699219,270.6435546875,19.365636825561523,218.42999267578125
2021-07-22,143.0935821533203,181.9015045166016,127.36876678466795,348.4555053710937,275.2024230957031,19.54921531677246,216.4199981689453
2021-07-23,144.8091278076172,182.83200073242188,131.9246368408203,366.9106750488281,278.5975036621094,19.513301849365234,214.4600067138672
2021-07-26,145.22830200195312,184.99099731445312,132.936279296875,369.5598754882813,278.00115966796875,19.249906539916992,219.2066650390625
2021-07-27,143.06434631347656,181.3195037841797,130.8187713623047,364.9461059570313,275.5871276855469,19.16410255432129,214.9266662597656
2021-07-28,141.3195343017578,181.51600646972656,134.97842407226562,370.37353515625,275.2793273925781,19.45842933654785,215.66000366210935
2021-07-29,141.96286010742188,179.99600219726562,134.66448974609375,355.52996826171875,275.5486755371094,19.617061614990234,225.7833404541016
2021-07-30,142.17730712890625,166.37950134277344,133.6221160888672,353.52569580078125,274.0194396972656,19.454435348510746,229.0666656494141
2021-08-02,141.84591674804688,166.57400512695312,133.74905395507812,349.2096252441406,273.93280029296875,19.70486259460449,236.55667114257807
2021-08-03,143.63943481445312,168.31199645996094,134.5181884765625,348.50506591796875,276.1448974609375,19.76971435546875,236.5800018310547
2021-08-04,143.2397918701172,167.73599243164062,134.01783752441406,356.1253356933594,275.5582275390625,20.2276668548584,236.97332763671875
2021-08-05,143.34701538085938,168.79949951171875,135.13462829589844,360.1437683105469,278.45318603515625,20.58983039855957,238.2100067138672
2021-08-06,142.66368103027344,167.2469940185547,134.6258087158203,360.6795959472656,278.3953857421875,20.3194522857666,233.0333404541016
2021-08-09,142.61485290527344,167.093505859375,135.79066467285156,358.7943420410156,277.30865478515625,20.248613357543945,237.9199981689453
2021-08-10,142.1365203857422,166.03399658203125,135.68556213378906,358.318115234375,275.49090576171875,19.89043617248535,236.663330078125
2021-08-11,142.39031982421875,164.60549926757812,135.16189575195312,357.1571655273437,275.9814758300781,19.65397834777832,235.94000244140625
2021-08-12,145.3482666015625,165.1750030517578,136.06939697265625,359.8263244628906,278.73211669921875,19.859508514404297,240.75
2021-08-13,145.55328369140625,164.69850158691406,136.5985107421875,360.3521423339844,281.6558837890625,20.14186286926269,239.05667114257807
2021-08-16,147.52520751953125,164.94949340820312,137.1757354736328,363.7058410644531,283.3389587402344,19.90440559387207,228.72332763671875
2021-08-17,146.61732482910156,162.09800720214844,135.54124450683594,355.6589660644531,281.8771667480469,19.41353416442871,221.90333557128903
2021-08-18,142.87843322753906,160.06100463867188,134.33871459960938,352.6823425292969,280.1522521972656,18.996484756469727,229.663330078125
2021-08-19,143.2103729248047,159.3874969482422,134.56777954101562,352.3548889160156,285.972412109375,19.75275039672852,224.4900054931641
2021-08-20,144.66490173339844,159.99749755859375,136.302978515625,356.57183837890625,293.2863464355469,20.768421173095703,226.7533264160156
2021-08-23,146.14877319335938,163.2935028076172,138.8935546875,360.5208129882813,293.56573486328125,21.90781784057617,235.43333435058597
2021-08-24,146.06089782714844,165.28900146484375,140.10353088378906,362.66400146484375,291.60955810546875,21.743186950683597,236.163330078125
2021-08-25,144.8308563232422,164.95899963378906,140.91432189941406,365.5216064453125,291.0218505859375,22.162229537963867,237.0666656494141
2021-08-26,144.03036499023438,165.8000030517578,140.28111267089844,361.5428161621094,288.20806884765625,22.01757049560547,233.72000122070312
2021-08-27,145.06517028808594,167.48150634765625,142.82357788085938,369.72857666015625,288.8150939941406,22.58426284790039,237.30667114257807
2021-08-30,149.47760009765625,171.07850646972656,143.4052734375,377.696044921875,292.5443420410156,22.636144638061523,243.6366729736328
2021-08-31,148.2183380126953,173.5395050048828,143.51136779785156,376.4259643554688,290.8965148925781,22.33777618408203,245.2400054931641
2021-09-01,148.88214111328125,173.9499969482422,144.02513122558594,379.0751953125,290.848388671875,22.39365768432617,244.69667053222656
2021-09-02,149.99501037597656,173.156005859375,142.11245727539062,372.3579406738281,290.19305419921875,22.3487548828125,244.1300048828125
2021-09-03,150.6295928955078,173.90249633789062,142.56121826171875,373.330322265625,290.1835021972656,22.79481315612793,244.52333068847656
2021-09-07,152.96275329589844,175.46449279785156,143.09779357910156,379.2041931152344,289.2584228515625,22.61419486999512,250.97332763671875
